E	Z	I	a1	a2	a3	a4	b1	b2	b3	b4	c
Ni	28	2	11.4166	7.4005	5.3442	0.9773	3.6766	0.2449	8.873	22.1626	0.8614
Ni	28	3	10.7806	7.75868	5.22746	0.847114	3.5477	0.22314	7.64468	16.9673	0.386044
Cu	29	0	13.338	7.1676	5.6158	1.6735	3.5828	0.247	11.3966	64.8126	1.191
Cu	29	1	11.9475	7.3573	6.2455	1.5578	3.3669	0.2274	8.6625	25.8487	0.89
Cu	29	2	11.8168	7.11181	5.78135	1.14523	3.37484	0.244078	7.9876	19.897	1.14431
Zn	30	0	14.0743	7.0318	5.1652	2.41	3.2655	0.2333	10.3163	58.7097	1.3041
Zn	30	2	11.9719	7.3862	6.4668	1.394	2.9946	0.2031	7.0826	18.0995	0.7807
Ga	31	0	15.2354	6.7006	4.3591	2.9623	3.0669	0.2412	10.7805	61.4135	1.7189
Ga	31	3	12.692	6.69883	6.06692	1.0066	2.81262	0.22789	6.36441	14.4122	1.53545
Ge	32	0	16.0816	6.3747	3.7068	3.683	2.8509	0.2516	11.4468	54.7625	2.1313
Ge	32	4	12.9172	6.70003	6.06791	0.859041	2.53718	0.205855	5.47913	11.603	1.45572
As	33	0	16.6723	6.0701	3.4313	4.2779	2.6345	0.2647	12.9479	47.7972	2.531
Se	34	0	17.0006	5.8196	3.9731	4.3543	2.4098	0.2726	15.2372	43.8163	2.8409
Br	35	0	17.1789	5.2358	5.6377	3.9851	2.1723	16.5796	0.2609	41.4328	2.9557
Br	35	-1	17.1718	6.3338	5.5754	3.7272	2.2059	19.3345	0.2871	58.1535	3.1776
Kr	36	0	17.3555	6.7286	5.5493	3.5375	1.9384	16.5623	0.2261	39.3972	2.825
Rb	37	0	17.1784	9.6435	5.1399	1.5292	1.7888	17.3151	0.2748	164.934	3.4873
Rb	37	1	17.5816	7.6598	5.8981	2.7817	1.7139	14.7957	0.1603	31.2087	2.0782
Sr	38	0	17.5663	9.8184	5.422	2.6694	1.5564	14.0988	0.1664	132.376	2.5064
Sr	38	2	18.0874	8.1373	2.5654	-34.193	1.4907	12.6963	24.5651	-1.38E-02	41.4025
Y	39	0	17.776	10.2946	5.72629	3.26588	1.4029	12.8006	0.125599	104.354	1.91213
Y	39	3	17.9268	9.1531	1.76795	-33.108	1.35417	11.2145	22.6599	-1.32E-02	40.2602
Zr	40	0	17.8765	10.948	5.41732	3.65721	1.27618	11.916	0.117622	87.6627	2.06929
Zr	40	4	18.1668	10.0562	1.01118	-2.6479	1.2148	10.1483	21.6054	-0.10276	9.41454
Nb	41	0	17.6142	12.0144	4.04183	3.53346	1.18865	11.766	0.204785	69.7957	3.75591
Nb	41	3	19.8812	18.0653	11.0177	1.94715	1.92E-02	1.13305	10.1621	28.3389	-12.912
Nb	41	5	17.9163	13.3417	10.799	0.337905	1.12446	2.88E-02	9.28206	25.7228	-6.3934
Mo	42	0	3.7025	17.2356	12.8876	3.7429	0.2772	1.0958	11.004	61.6584	4.3875
Mo	42	3	21.1664	18.2017	11.7423	2.30951	1.47E-02	1.03031	9.53659	26.6307	-14.421
Mo	42	5	21.0149	18.0992	11.4632	0.740625	1.43E-02	1.02238	8.78809	23.3452	-14.316
Mo	42	6	17.8871	11.175	6.57891	0.00E+00	1.03649	8.48061	5.89E-02	0.00E+00	0.344941
Tc	43	0	19.1301	11.0948	4.64901	2.71263	0.864132	8.14487	21.5707	86.8472	5.40428
Ru	44	0	19.2674	12.9182	4.86337	1.56756	0.80852	8.43467	24.7997	94.2928	5.37874
Ru	44	3	18.5638	13.2885	9.32602	3.00964	0.847329	8.37164	1.77E-02	22.887	-3.1892
Ru	44	4	18.5003	13.1787	4.71304	2.18535	0.844582	8.12534	3.65E-02	20.8504	1.42357
Rh	45	0	19.2957	14.3501	4.73425	1.28918	0.751536	8.21758	25.8749	98.6062	5.328
Rh	45	3	18.8785	14.1259	3.32515	-6.1989	0.764252	7.84438	21.2487	-1.04E-02	11.8678
Rh	45	4	18.8545	13.9806	2.53464	-5.6526	0.760825	7.62436	19.3317	-1.02E-02	11.2835
Pd	46	0	19.3319	15.5017	5.29537	0.605844	0.698655	7.98929	25.2052	76.8986	5.26593
Pd	46	2	19.1701	15.2096	4.32234	0.00E+00	0.696219	7.55573	22.5057	0.00E+00	5.2916
Pd	46	4	19.2493	14.79	2.89289	-7.9492	0.683839	7.14833	17.9144	5.13E-03	13.0174
Ag	47	0	19.2808	16.6885	4.8045	1.0463	0.6446	7.4726	24.6605	99.8156	5.179
Ag	47	1	19.1812	15.9719	5.27475	0.357534	0.646179	7.19123	21.7326	66.1147	5.21572
Ag	47	2	19.1643	16.2456	4.3709	0.00E+00	0.645643	7.18544	21.4072	0.00E+00	5.21404
Cd	48	0	19.2214	17.6444	4.461	1.6029	0.5946	6.9089	24.7008	87.4825	5.0694
Cd	48	2	19.1514	17.2535	4.47128	0.00E+00	0.597922	6.80639	20.2521	0.00E+00	5.11937
In	49	0	19.1624	18.5596	4.2948	2.0396	0.5476	6.3776	25.8499	92.8029	4.9391
In	49	3	19.1045	18.1108	3.78897	0.00E+00	0.551522	6.3247	17.3595	0.00E+00	4.99635
Sn	50	0	19.1889	19.1005	4.4585	2.4663	5.8303	0.5031	26.8909	83.9571	4.7821
Sn	50	2	19.1094	19.0548	4.5648	0.487	0.5036	5.8378	23.3752	62.2061	4.7861
Sn	50	4	18.9333	19.7131	3.4182	1.93E-02	5.764	0.4655	14.0049	-0.7583	3.9182
Sb	51	0	19.6418	19.0455	5.0371	2.6827	5.3034	0.4607	27.9074	75.2825	4.5909
Sb	51	3	18.9755	18.933	5.10789	0.288753	0.467196	5.22126	19.5902	55.5113	4.69626
Sb	51	5	19.8685	19.0302	2.41253	0.00E+00	5.44853	0.467973	14.1259	0.00E+00	4.69263
Te	52	0	19.9644	19.0138	6.14487	2.5239	4.81742	0.420885	28.5284	70.8403	4.352
I	53	0	20.1472	18.9949	7.5138	2.2735	4.347	0.3814	27.766	66.8776	4.0712
I	53	-1	20.2332	18.997	7.8069	2.8868	4.3579	0.3815	29.5259	84.9304	4.0714
Xe	54	0	20.2933	19.0298	8.9767	1.99	3.9282	0.344	26.4659	64.2658	3.7118
Cs	55	0	20.3892	19.1062	10.662	1.4953	3.569	0.3107	24.3879	213.904	3.3352
Cs	55	1	0.3524	19.1278	10.2821	0.9615	3.552	0.3086	23.7128	59.4565	3.2791
Ba	56	0	20.3361	19.297	10.888	2.6959	3.216	0.2756	20.2073	167.202	2.7731
Ba	56	2	20.1807	19.1136	10.9054	0.773634	3.21367	0.28331	20.0558	51.746	3.02902
La	57	0	20.578	19.599	11.3727	3.28719	2.94817	0.244475	18.7726	133.124	2.14678
La	57	3	20.2489	19.3763	11.6323	0.336048	2.9207	0.250698	17.8211	54.9453	2.4086
Ce	58	0	21.1671	19.7695	11.8513	3.33049	2.81219	0.226836	17.6083	127.113	1.86264
Ce	58	3	20.8036	19.559	11.9369	0.612376	2.77691	0.23154	16.5408	43.1692	2.09013
Ce	58	4	20.3235	19.8186	12.1233	0.144583	2.65941	0.21885	15.7992	62.2355	1.5918
Pr	59	0	22.044	19.6697	12.3856	2.82428	2.77393	0.222087	16.7669	143.644	2.0583
Pr	59	3	21.3727	19.7491	12.1329	0.97518	2.6452	0.214299	15.323	36.4065	1.77132
Pr	59	4	20.9413	20.0539	12.4668	0.296689	2.54467	0.202481	14.8137	45.4643	1.24285
Nd	60	0	22.6845	19.6847	12.774	2.85137	2.66248	0.210628	15.885	137.903	1.98486
Nd	60	3	21.961	19.9339	12.12	1.51031	2.52722	0.199237	14.1783	30.8717	1.47588
Pm	61	0	23.3405	19.6095	13.1235	2.87516	2.5627	0.202088	15.1009	132.721	2.02876
Pm	61	3	22.5527	20.1108	12.0671	2.07492	2.4174	0.185769	13.1275	27.4491	1.19499
Sm	62	0	24.0042	19.4258	13.4396	2.89604	2.47274	0.196451	14.3996	128.007	2.20963
Sm	62	3	23.1504	20.2599	11.9202	2.71488	2.31641	0.174081	12.1571	24.8242	0.954586
Eu	63	0	24.6274	19.0886	13.7603	2.9227	2.3879	0.1942	13.7546	123.174	2.5745
Eu	63	2	24.0063	19.9504	11.8034	3.87243	2.27783	0.17353	11.6096	26.5156	1.36389
Eu	63	3	23.7497	20.3745	11.8509	3.26503	2.22258	0.16394	11.311	22.9966	0.759344
Gd	64	0	25.0709	19.0798	13.8518	3.54545	2.25341	0.181951	12.9331	101.398	2.4196
Gd	64	3	24.3466	20.4208	11.8708	3.7149	2.13553	0.155525	10.5782	21.7029	0.645089
Tb	65	0	25.8976	18.2185	14.3167	2.95354	2.24256	0.196143	12.6648	115.362	3.58324
Tb	65	3	24.9559	20.3271	12.2471	3.773	2.05601	0.149525	10.0499	21.2773	0.691967
Dy	66	0	26.507	17.6383	14.5596	2.96577	2.1802	0.202172	12.1899	111.874	4.29728
Dy	66	3	25.5395	20.2861	11.9812	4.50073	1.9804	0.143384	9.34972	19.581	0.68969
Ho	67	0	26.9049	17.294	14.5583	3.63837	2.07051	0.19794	11.4407	92.6566	4.56796
Ho	67	3	26.1296	20.0994	11.9788	4.93676	1.91072	0.139358	8.80018	18.5908	0.852795
Er	68	0	27.6563	16.4285	14.9779	2.98233	2.07356	0.223545	11.3604	105.703	5.92046
Er	68	3	26.722	19.7748	12.1506	5.17379	1.84659	0.13729	8.36225	17.8974	1.17613
Tm	69	0	28.1819	15.8851	15.1542	2.98706	2.02859	0.238849	10.9975	102.961	6.75621
Tm	69	3	27.3083	19.332	12.3339	5.38348	1.78711	0.136974	7.96778	17.2922	1.63929
Yb	70	0	28.6641	15.4345	15.3087	2.98963	1.9889	0.257119	10.6647	100.417	7.56672
Yb	70	2	28.1209	17.6817	13.3335	5.14657	1.78503	0.15997	8.18304	20.39	3.70983
Yb	70	3	27.8917	18.7614	12.6072	5.47647	1.73272	0.13879	7.64412	16.8153	2.26001
Lu	71	0	28.9476	15.2208	15.1	3.71601	1.90182	9.98519	0.261033	84.3298	7.97628
Lu	71	3	28.4628	18.121	12.8429	5.59415	1.68216	0.142292	7.33727	16.3535	2.97573
Hf	72	0	29.144	15.1726	14.7586	4.30013	1.83262	9.5999	0.275116	72.029	8.58154
Hf	72	4	28.8131	18.4601	12.7285	5.59927	1.59136	0.128903	6.76232	14.0366	2.39699
Ta	73	0	29.2024	15.2293	14.5135	4.76492	1.77333	9.37046	0.295977	63.3644	9.24354
Ta	73	5	29.1587	18.8407	12.8268	5.38695	1.50711	0.116741	6.31524	12.4244	1.78555
W	74	0	29.0818	15.43	14.4327	5.11982	1.72029	9.2259	0.321703	57.056	9.8875
W	74	6	29.4936	19.3763	13.0544	5.06412	1.42755	0.104621	5.93667	11.1972	1.01074
Re	75	0	28.7621	15.7189	14.5564	5.44174	1.67191	9.09227	0.3505	52.0861	10.472
Os	76	0	28.1894	16.155	14.9305	5.67589	1.62903	8.97948	0.382661	48.1647	11.0005
Os	76	4	30.419	15.2637	14.7458	5.06795	1.37113	6.84706	0.165191	18.003	6.49804
Ir	77	0	27.3049	16.7296	15.6115	5.83377	1.59279	8.86553	0.417916	45.0011	11.4722
Ir	77	3	30.4156	15.862	13.6145	5.82008	1.34323	7.10909	0.204633	20.3254	8.27903
Ir	77	4	30.7058	15.5512	14.2326	5.53672	1.30923	6.71983	0.167252	17.4911	6.96824
Pt	78	0	27.0059	17.7639	15.7131	5.7837	1.51293	8.81174	0.424593	38.6103	11.6883
Pt	78	2	29.8429	16.7224	13.2153	6.35234	1.32927	7.38979	0.263297	22.9426	9.85329
Pt	78	4	30.9612	15.9829	13.7348	5.92034	1.24813	6.60834	0.16864	16.9392	7.39534
Au	79	0	16.8819	18.5913	25.5582	5.86	0.4611	8.6216	1.4826	36.3956	12.0658
Au	79	1	28.0109	17.8204	14.3359	6.58077	1.35321	7.7395	0.356752	26.4043	11.2299
Au	79	3	30.6886	16.9029	12.7801	6.52354	1.2199	6.82872	0.212867	18.659	9.0968
Hg	80	0	20.6809	19.0417	21.6575	5.9676	0.545	8.4484	1.5729	38.3246	12.6089
Hg	80	1	25.0853	18.4973	16.8883	6.48216	1.39507	7.65105	0.443378	28.2262	12.0205
Hg	80	2	29.5641	18.06	12.8374	6.89912	1.21152	7.05639	0.284738	20.7482	10.6268
Tl	81	0	27.5446	19.1584	15.538	5.52593	0.65515	8.70751	1.96347	45.8149	13.1746
Tl	81	1	21.3985	20.4723	18.7478	6.82847	1.4711	0.517394	7.43463	28.8482	12.5258
Tl	81	3	30.8695	18.3841	11.9328	7.00574	1.1008	6.53852	0.219074	17.2114	9.8027
Pb	82	0	31.0617	13.0637	18.442	5.9696	0.6902	2.3576	8.618	47.2579	13.4118
Pb	82	2	21.7886	19.5682	19.1406	7.01107	1.3366	0.488383	6.7727	23.8132	12.4734
Pb	82	4	32.1244	18.8003	12.0175	6.96886	1.00566	6.10926	0.147041	14.714	8.08428
Bi	83	0	33.3689	12.951	16.5877	6.4692	0.704	2.9238	8.7937	48.0093	13.5782
Bi	83	3	21.8053	19.5026	19.1053	7.10295	1.2356	6.24149	0.469999	20.3185	12.4711
Bi	83	5	33.5364	25.0946	19.2497	6.91555	0.91654	3.90E-02	5.71414	12.8285	-6.7994
Po	84	0	34.6726	15.4733	13.1138	7.02588	0.700999	3.55078	9.55642	47.0045	13.677
At	85	0	35.3163	19.0211	9.49887	7.42518	0.68587	3.97458	11.3824	45.4715	13.7108
Rn	86	0	35.5631	21.2816	8.0037	7.4433	0.6631	4.0691	14.0422	44.2473	13.6905
Fr	87	0	35.9299	23.0547	12.1439	2.11253	0.646453	4.17619	23.1052	150.645	13.7247
Ra	88	0	35.763	22.9064	12.4739	3.21097	0.616341	3.87135	19.9887	142.325	13.6211
Ra	88	2	35.215	21.67	7.91342	7.65078	0.604909	3.5767	12.601	29.8436	13.5431
Ac	89	0	35.6597	23.1032	12.5977	4.08655	0.589092	3.65155	18.599	117.02	13.5266
Ac	89	3	35.1736	22.1112	8.19216	7.05545	0.579689	3.41437	12.9187	25.9443	13.4637
Th	90	0	35.5645	23.4219	12.7473	4.80703	0.563359	3.46204	17.8309	99.1722	13.4314
Th	90	4	35.1007	22.4418	9.78554	5.29444	0.555054	3.24498	13.4661	23.9533	13.376
Pa	91	0	35.8847	23.2948	14.1891	4.17287	0.547751	3.41519	16.9235	105.251	13.4287
U	92	0	36.0228	23.4128	14.9491	4.188	0.5293	3.3253	16.0927	100.613	13.3966
U	92	3	35.5747	22.5259	12.2165	5.37073	0.52048	3.12293	12.7148	26.3394	13.3092
U	92	4	35.3715	22.5326	12.0291	4.7984	0.516598	3.05053	12.5723	23.4582	13.2671
U	92	6	34.8509	22.7584	14.0099	1.21457	0.507079	2.8903	13.1767	25.2017	13.1665
Np	93	0	36.1874	23.5964	15.6402	4.1855	0.511929	3.25396	15.3622	97.4908	13.3573
Np	93	3	35.0136	22.7286	14.3884	1.75669	0.48981	2.81099	12.33	22.6581	13.113
Np	93	4	36.5254	23.8083	16.7707	3.47947	0.499384	3.26371	14.9455	105.98	13.3812
Np	93	6	35.7074	22.613	12.9898	5.43227	0.502322	3.03807	12.1449	25.4928	13.2544
Pu	94	0	35.5103	22.5787	12.7766	4.92159	0.498626	2.96627	11.9484	22.7502	13.2116
Pu	94	3	35.84	22.7169	13.5807	5.66016	0.484938	2.96118	11.5331	24.3992	13.1991
Pu	94	4	35.6493	22.646	13.3595	5.18831	0.481422	2.8902	11.316	21.8301	13.1555
Pu	94	6	35.1736	22.7181	14.7635	2.28678	0.473204	2.73848	11.553	20.9303	13.0582
Am	95	0	36.6706	24.0992	17.3415	3.49331	0.483629	3.20647	14.3136	102.273	13.3592
Cm	96	0	36.6488	24.4096	17.399	4.21665	0.465154	3.08997	13.4346	88.4834	13.2887
Bk	97	0	36.7881	24.7736	17.8919	4.23284	0.451018	3.04619	12.8946	86.003	13.2754
Cf	98	0	36.9185	25.1995	18.3317	4.24391	0.437533	3.00775	12.4044	83.7881	13.2674
