# f 	 eps1 	 eps2
2.727272727272727344e+13	9.865293969437559651e-01	7.005450951342323540e-02
2.735240552435878125e+13	1.019510059390096313e+00	6.939467774693332258e-02
2.743208377599028906e+13	1.052157766835979391e+00	6.874451775415227339e-02
2.751176202762179297e+13	1.084478188498268603e+00	6.810377537020731453e-02
2.759144027925330078e+13	1.116476812422067200e+00	6.747220900905850915e-02
2.767111853088480859e+13	1.148157140247737518e+00	6.684963957375582300e-02
2.775079678251631641e+13	1.179526126161258848e+00	6.623579660385517376e-02
2.783047503414782422e+13	1.210588848592293321e+00	6.563046881466784443e-02
2.791015328577932812e+13	1.241350161500840876e+00	6.503345641641600228e-02
2.798983153741083594e+13	1.271814672221362574e+00	6.444457118686733321e-02
2.806950978904234375e+13	1.301985436046189548e+00	6.386367119143708526e-02
2.814918804067385156e+13	1.331868606938741539e+00	6.329053445939994416e-02
2.822886629230535938e+13	1.361468524395542223e+00	6.272499245341486840e-02
2.830854454393686328e+13	1.390789414714923788e+00	6.216688318131648183e-02
2.838822279556837109e+13	1.419835126283845783e+00	6.161605788593994826e-02
2.846790104719987891e+13	1.448608593988725879e+00	6.107239457980898067e-02
2.854757929883138672e+13	1.477115131584074703e+00	6.053571163899072738e-02
2.862725755046289453e+13	1.505358558471499686e+00	6.000586959050831226e-02
2.870693580209439844e+13	1.533342603310372754e+00	5.948273376638569393e-02
2.878661405372590625e+13	1.561070499325309280e+00	5.896618447879846403e-02
2.886629230535741406e+13	1.588545114539417380e+00	5.845611326726483231e-02
2.894597055698892188e+13	1.615771067465336719e+00	5.795236904308437992e-02
2.902564880862042969e+13	1.642751756799583518e+00	5.745483394001794919e-02
2.910532706025193750e+13	1.669490506822818521e+00	5.696339373579011739e-02
2.918500531188344141e+13	1.695990041989968722e+00	5.647795084610879313e-02
2.926468356351494922e+13	1.722253196032947908e+00	5.599840629650559148e-02
2.934436181514645703e+13	1.748284001804110144e+00	5.552463280559997993e-02
2.942404006677796484e+13	1.774085510359915574e+00	5.505652907485349828e-02
2.950371831840946875e+13	1.799660710557511756e+00	5.459399664853361450e-02
2.958339657004097656e+13	1.825011899199118437e+00	5.413695520759371355e-02
2.966307482167248438e+13	1.850141895205382303e+00	5.368531265984403944e-02
2.974275307330399219e+13	1.875054230956450407e+00	5.323896075361510272e-02
2.982243132493550000e+13	1.899751665083170504e+00	5.279781124030057810e-02
2.990210957656700781e+13	1.924236903394305864e+00	5.236177814402508818e-02
2.998178782819851172e+13	1.948511878506185679e+00	5.193079493939219832e-02
3.006146607983001953e+13	1.972579405709083966e+00	5.150477470502263372e-02
3.014114433146152734e+13	1.996442584746483062e+00	5.108362471776672215e-02
3.022082258309303516e+13	2.020103924578710242e+00	5.066726724896419842e-02
3.030050083472454297e+13	2.043565888705785483e+00	5.025562642550843867e-02
3.038017908635604688e+13	2.066830096331062183e+00	4.984864695071825058e-02
3.045985733798755469e+13	2.089899364985099428e+00	4.944624592961898574e-02
3.053953558961906250e+13	2.112776416910965516e+00	4.904834352853509188e-02
3.061921384125057031e+13	2.135463545225858795e+00	4.865487066912909525e-02
3.069889209288207812e+13	2.157963003482013420e+00	4.826575981544111577e-02
3.077857034451358203e+13	2.180276138866551694e+00	4.788096495421564902e-02
3.085824859614508984e+13	2.202405773613251405e+00	4.750040644014879437e-02
3.093792684777659766e+13	2.224354298066297808e+00	4.712401528957444602e-02
3.101760509940810547e+13	2.246123816775213555e+00	4.675172965837606082e-02
3.109728335103961328e+13	2.267716399528638682e+00	4.638348900421491311e-02
3.117696160267111719e+13	2.289133155799864650e+00	4.601925508730748959e-02
3.125663985430262500e+13	2.310376912812915240e+00	4.565895097775924533e-02
3.133631810593413281e+13	2.331449767289488051e+00	4.530251693085896036e-02
3.141599635756564062e+13	2.352353657572514578e+00	4.494989723995199138e-02
3.149567460919714844e+13	2.373090491219184361e+00	4.460103731142860822e-02
3.157535286082865625e+13	2.393661168806175077e+00	4.425590548279326880e-02
3.165503111246016016e+13	2.414068521467187090e+00	4.391442716749444086e-02
3.173470936409166797e+13	2.434314384833391909e+00	4.357655056257363213e-02
3.181438761572317578e+13	2.454400549642192786e+00	4.324222523222276404e-02
3.189406586735468359e+13	2.474328697708588543e+00	4.291140350393221614e-02
3.197374411898618750e+13	2.494099789616624374e+00	4.258405392459978928e-02
3.205342237061769531e+13	2.513716414086496709e+00	4.226010939198850125e-02
3.213310062224920312e+13	2.533180255073120168e+00	4.193952318187877532e-02
3.221277887388071094e+13	2.552492971380131870e+00	4.162224943217231188e-02
3.229245712551221875e+13	2.571656027870981465e+00	4.130824681070232457e-02
3.237213537714372656e+13	2.590670485290648806e+00	4.099748301944258072e-02
3.245181362877523047e+13	2.609538668430547936e+00	4.068989851748837372e-02
3.253149188040673828e+13	2.628262140165338767e+00	4.038545068944782157e-02
3.261117013203824609e+13	2.646842440716720368e+00	4.008409767712980964e-02
3.269084838366975391e+13	2.665280840270201068e+00	3.978580368897880609e-02
3.277052663530125781e+13	2.683578489956342850e+00	3.949053568069232217e-02
3.285020488693276562e+13	2.701737475991381032e+00	3.919824078268635548e-02
3.292988313856427344e+13	2.719759251997624361e+00	3.890887999858431284e-02
3.300956139019578125e+13	2.737645251101796795e+00	3.862241500176306214e-02
3.308923964182728906e+13	2.755396568320766626e+00	3.833881486609153066e-02
3.316891789345879688e+13	2.773014435991756788e+00	3.805804590908488938e-02
3.324859614509030078e+13	2.790500724104857611e+00	3.778006117391840418e-02
3.332827439672180859e+13	2.807856787276858501e+00	3.750482487308399310e-02
